"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sat Apr 18 12:36:26 UTC 2026","passed","Sat Apr 18 12:36:26 UTC 2026","TestOperationsHTTP","test_operations","",""
"","12","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sat Apr 18 12:36:26 UTC 2026","passed","Sat Apr 18 12:36:26 UTC 2026","TestOperationsHTTP","test_operations","",""
"","516","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sat Apr 18 12:36:24 UTC 2026","failed","Sat Apr 18 12:36:24 UTC 2026","TestOperationsGRPC","test_operations","",""
"","553","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sat Apr 18 12:36:24 UTC 2026","failed","Sat Apr 18 12:36:25 UTC 2026","TestOperationsHTTP","test_operations","",""
"","70","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sat Apr 18 12:36:24 UTC 2026","passed","Sat Apr 18 12:36:24 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","27","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sat Apr 18 12:36:24 UTC 2026","passed","Sat Apr 18 12:36:24 UTC 2026","TestOperationsGRPC","test_operations","",""
"","16","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sat Apr 18 12:36:23 UTC 2026","passed","Sat Apr 18 12:36:23 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","21","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sat Apr 18 12:36:23 UTC 2026","passed","Sat Apr 18 12:36:23 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","10","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sat Apr 18 12:36:24 UTC 2026","passed","Sat Apr 18 12:36:24 UTC 2026","TestOperationsGRPC","test_operations","",""
"","513","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sat Apr 18 12:36:25 UTC 2026","failed","Sat Apr 18 12:36:26 UTC 2026","TestOperationsHTTP","test_operations","",""
"","902","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sat Apr 18 12:36:23 UTC 2026","failed","Sat Apr 18 12:36:24 UTC 2026","TestOperationsGRPC","test_operations","",""
"","60","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sat Apr 18 12:36:24 UTC 2026","passed","Sat Apr 18 12:36:24 UTC 2026","TestGatewayHTTP","test_gateway","",""
